Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,05-02-20 18:02,FALSE,Treadmill Running,1.27,165,0:13:01,130,141,2.2,138,167,10:14,8:04,--,--,1.13,0,0,0,0,0,0:00,77,0:00,No,04:21.9,2,0
Treadmill Running,04-02-20 16:35,FALSE,Treadmill Running,0.63,65,05:10.2,128,137,1.2,162,168,8:12,7:30,--,--,1.21,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,03-02-20 18:01,FALSE,Treadmill Running,1.27,148,0:10:54,135,147,2.3,164,169,8:34,7:37,--,--,1.15,0,0,0,0,0,0:00,75.2,0:00,No,02:18.9,2,0
Running,01-02-20 14:37,FALSE,Sydney Running,2.64,359,0:23:11,152,171,3.7,160,178,8:47,6:59,118,174,1.15,0,0,0,0,0,0:00,91.4,0:00,No,05:20.0,3,0
Running,23-01-20 6:36,FALSE,Running,0.49,71,04:23.3,159,173,2.1,166,183,8:56,8:11,--,39,1.08,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Running,16-01-20 7:18,FALSE,Running,1.16,177,0:11:19,156,172,3,145,179,9:47,8:23,52,75,1.15,0,0,0,0,0,0:00,75.2,0:00,No,02:16.0,2,0
Running,12-01-20 15:05,FALSE,Sydney Running,2.13,281,0:18:25,151,169,3.3,164,176,8:40,7:46,125,141,1.13,0,0,0,0,0,0:00,68,0:00,No,01:00.3,3,0
Cycling,29-12-19 16:34,FALSE,Sydney Cycling,3.36,183,0:23:32,106,134,0.8,--,--,8.6,23.1,174,187,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,28-12-19 19:08,FALSE,Sydney Cycling,3.48,223,0:26:36,111,134,1.2,--,--,7.9,23.5,187,180,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Running,28-12-19 18:18,FALSE,Sydney Running,2.5,289,0:20:46,139,155,3.1,162,183,8:18,6:42,102,167,1.2,0,0,0,0,0,0:00,75.2,0:00,No,03:53.7,3,0
Treadmill Running,15-12-19 15:32,FALSE,Treadmill Running,1.26,156,0:10:35,143,155,2.6,163,169,8:23,7:20,--,--,1.18,0,0,0,0,0,0:00,75.2,0:00,No,02:17.2,2,0
Running,28-11-19 18:31,FALSE,Darwin Running,3.01,375,0:25:54,145,173,3.5,160,177,8:36,7:01,69,82,1.17,0,0,0,0,0,0:00,87.8,0:00,No,00:06.1,4,0
Running,24-11-19 18:51,FALSE,Darwin Running,3.13,414,0:27:31,149,168,3.6,155,196,8:47,7:23,75,89,1.18,0,0,0,0,0,0:00,82.4,0:00,No,01:00.7,4,0
Running,16-11-19 17:29,FALSE,Sydney Running,2,253,0:17:28,144,165,3.1,161,177,8:44,7:47,46,16,1.15,0,0,0,0,0,0:00,71.6,0:00,No,00:01.3,3,0
Elliptical,14-11-19 18:30,FALSE,Elliptical,0,53,0:10:32,86,131,0.2,70,98,--,--,--,--,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,13-11-19 18:02,FALSE,Treadmill Running,1.39,134,0:10:24,131,148,2,167,173,7:30,7:06,--,--,1.29,0,0,0,0,0,0:00,73.4,0:00,No,02:56.2,2,0
Running,12-11-19 17:34,FALSE,Sydney Running,3.07,394,0:26:20,149,169,3.2,163,180,8:34,7:17,82,66,1.15,0,0,0,0,0,0:00,86,0:00,No,00:31.5,4,0
Running,10-11-19 18:57,FALSE,Sydney Running,1.32,165,0:10:46,150,162,2.7,164,173,8:11,7:39,33,43,1.2,0,0,0,0,0,0:00,68,0:00,No,02:35.5,2,0
Running,02-11-19 16:36,FALSE,Sydney Running,3.1,384,0:25:49,148,161,3.3,161,189,8:20,6:09,75,66,1.2,0,0,0,0,0,0:00,75.2,0:00,No,00:39.4,4,0
Running,31-10-19 6:27,FALSE,Sydney Running,0.46,50,03:53.4,131,146,1.1,157,170,8:32,7:16,10,16,1.2,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Treadmill Running,29-10-19 19:02,FALSE,Treadmill Running,0.59,64,05:04.8,130,148,1.1,159,170,8:40,7:37,--,--,1.17,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Running,28-10-19 18:57,FALSE,Sydney Running,4.69,610,0:39:49,153,177,4,164,182,8:30,6:36,89,92,1.15,0,0,0,0,0,0:00,66.2,0:00,No,05:27.3,5,0
Running,26-10-19 17:11,FALSE,Sydney Running,0.37,45,03:05.5,150,163,1.1,162,173,8:19,7:50,10,10,1.19,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Running,26-10-19 16:31,FALSE,Sydney Running,1.37,166,0:11:48,143,164,2.4,162,173,8:37,6:55,69,56,1.15,0,0,0,0,0,0:00,86,0:00,No,02:35.2,2,0
Treadmill Running,25-10-19 21:42,FALSE,Treadmill Running,0.8,86,06:01.0,142,155,2,163,171,7:30,6:57,--,--,1.32,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Treadmill Running,24-10-19 21:20,FALSE,Treadmill Running,0.77,78,05:46.5,136,153,1.7,164,172,7:33,6:59,--,--,1.3,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Treadmill Running,23-10-19 20:37,FALSE,Treadmill Running,1.11,197,0:21:18,120,154,2.2,69,173,19:11,6:54,--,--,0.9,0,0,0,0,0,0:00,75.2,0:00,No,07:16.6,2,0
Running,21-10-19 18:10,FALSE,Sydney Running,4.13,542,0:35:08,153,190,4.1,164,179,8:30,6:51,164,161,1.15,0,0,0,0,0,0:00,68,0:00,No,01:04.5,5,0
Treadmill Running,19-10-19 20:07,FALSE,Treadmill Running,0.97,120,08:22.7,141,149,2.2,165,173,8:39,7:41,--,--,1.13,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,18-10-19 18:14,FALSE,Treadmill Running,1.78,237,0:14:46,158,169,3.1,169,177,8:18,7:35,--,--,1.15,0,0,0,0,0,0:00,71.6,0:00,No,06:17.2,2,0
Running,18-10-19 18:00,FALSE,Sydney Running,1.21,176,0:12:15,142,160,2.5,162,171,10:05,7:47,121,115,0.98,0,0,0,0,0,0:00,71.6,0:00,No,01:58.4,2,0
Treadmill Running,17-10-19 18:09,FALSE,Treadmill Running,1.87,271,0:17:29,152,167,3.3,164,177,9:21,7:34,--,--,1.05,0,0,0,0,0,0:00,73.4,0:00,No,07:26.7,2,0
Treadmill Running,16-10-19 18:40,FALSE,Treadmill Running,1.83,260,0:17:11,149,177,3.2,165,175,9:24,7:41,--,--,1.04,0,0,0,0,0,0:00,75.2,0:00,No,07:11.7,2,0
Treadmill Running,15-10-19 18:51,FALSE,Treadmill Running,1.83,256,0:17:51,142,162,3.1,159,177,9:46,7:36,--,--,1.04,0,0,0,0,0,0:00,75.2,0:00,No,07:42.8,2,0
Treadmill Running,11-10-19 18:38,FALSE,Treadmill Running,0.92,153,0:11:04,140,154,2.4,133,168,11:59,8:10,--,--,1.01,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Running,08-10-19 18:22,FALSE,Sydney Running,3.52,485,0:31:11,155,174,4,164,216,8:52,7:12,240,233,1.11,0,0,0,0,0,0:00,60.8,0:00,No,04:42.9,4,0
Running,07-10-19 15:59,FALSE,Sydney Running,4.09,586,0:38:12,154,183,4.6,160,195,9:21,5:10,223,164,1.08,0,0,0,0,0,0:00,71.6,0:00,No,00:49.1,5,0
Running,26-09-19 21:37,FALSE,Running,0.25,27,02:19.4,124,137,0.5,151,165,9:25,8:54,--,10,1.13,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Running,26-09-19 21:27,FALSE,Running,0.43,51,04:06.5,129,140,1.1,154,165,9:29,8:54,--,39,1.1,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Running,26-09-19 11:07,FALSE,Santiago Running,0.73,91,06:12.2,145,165,2.1,156,176,8:32,8:24,46,39,1.21,0,0,0,0,0,0:00,96.8,0:00,No,00:00.0,1,0
Elliptical,26-09-19 9:32,FALSE,Elliptical,0,13,05:05.7,70,82,0,108,137,--,--,--,--,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,26-09-19 7:42,FALSE,Santiago Running,0.27,29,02:26.6,130,143,1,157,175,9:08,8:24,10,23,1.13,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Running,23-09-19 21:30,FALSE,Running,0.6,76,05:29.1,137,149,2,157,171,9:07,8:43,26,46,1.12,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Running,21-09-19 17:41,FALSE,Santiago Running,4.01,546,0:35:48,150,173,4.1,163,181,8:56,7:45,79,118,1.11,0,0,0,0,0,0:00,86,0:00,No,00:05.2,5,0
